,,,,,,,,,,,,,,,
// FACES,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
_property,id,name,metaCategory,category,animalImage,rarity,sort,civ,,reward,colors[0],colors[1],colors[2],colors[3],description
_type,,,,,,,,,,,,,,,
_location,cards,,,,,,,,,,,,,,
,// default values,,,,,,,,,// these are encoded,,,,,
,default,,pet,,,common,a,,,pswm,,,,,
,,,,,,,,,,,,,,,
,// dogs,,,,,,,,,,,,,,
,d1,Laika,,dog,,legendary,,russia,,ssswsss,red,lightgray,red,,A Soviet space dog - the first animal to orbit the Earth.
,d2,Hachikō,,dog,,legendary,,japan,,fffffff,white,orangered,white,,Known for his remarkable loyalty – Hachikō the Akita waited for his master every day even after his master's death.
,d3,Fido,,dog,,legendary,,usa,,smfffms,mediumblue,white,mediumblue,,The original Fido - Abraham Lincoln's dog
,d4,Spuds,,dog,,common,,usa,,mffffm,peachpuff,mintcream,saddlebrown,,"Honey Tree Evil Eye, a female Bull Terrier, was better known for her role as Spuds MacKenzie"
,d5,Gidget,,dog,,common,,usa,,ffffff,navajowhite,blanchedalmond,navajowhite,,"Gidget, a female Chihuaha, was best known as the Taco Bell Chihuahua."
,d6,Ace,,dog,,rare,,usa,,pmpmpm,sandybrown,chocolate,sandybrown,,Ace the Wonder Dog was a German Shepherd that acted in numerous films and serials in the 1930s and 1940s
,d7,Butkus,,dog,,epic,,usa,,pmwwmp,#4a2605,chocolate,#4a2605,,Butkus Stallone was Sylvester Stallone's personal pet Bullmastiff
,d8,Hooch,,dog,,epic,,usa,,ppwwwm,firebrick,chocolate,firebrick,,"Beasley, a Dogue de Bordeaux, starred as Hooch in the film Turner & Hooch"
,d9,Milo,,dog,,rare,,usa,,smmmms,seagreen,yellowgreen,seagreen,,"Max, a Jack Russell Terrier, played Milo in the Jim Carrey movie The Mask"
,da,Rin Tin Tin,,dog,,epic,,usa,,pmmmmp,darkkhaki,moccasin,darkkhaki,,An internationally famous German Shepherd – his descendants starred in other performing roles
,db,Toto,,dog,,epic,,usa,,spffpm,black,black,black,,"The famous dog role in The Wizard of Oz was played by Terry, a Cairn Terrier"
,dc,Eddie,,dog,,common,,usa,,mpmsms,peru,seashell,peru,,The role of Eddie on the TV show Frasier was played by Moose and his son Enzo
,dd,Lassie,,dog,,common,,usa,,mfpfpm,rosybrown,navajowhite,rosybrown,,"Pal, a Collie, played Lassie in various movies and television shows"
,de,Benji,,dog,,common,,usa,,mmffmm,maroon,moccasin,maroon,,The fictional hero of a series of movies - a lovable mixed-breed dog who helps out the many people he meets
,df,Pompey,,dog,,epic,,france,,mwswmw,darkorange,wheat,darkorange,,"Thwarted the attempted assassination of his master, William the Silent, Prince of Orange"
,dg,Bobbie,,dog,,legendary,,usa,,pwpwpwp,sandybrown,ivory,sandybrown,,"After being separated from his family during a cross-country trip, Bobbie traveled over 4000 km on foot to return home"
,dh,Dookie,,dog,,rare,,england,,mmsmmm,beige,sandybrown,tan,,The first of many Corgis owned by the British royal family
,di,Baikal,,dog,,epic,,russia,,sfsfsf,crimson,cornsilk,crimson,,"One of Pavlov's dogs, famous from the “conditioned reflex” experiments"
,dj,Belka,,dog,,legendary,,russia,,sssssss,bisque,seashell,bisque,,One of two Russian mixed breed dogs who together went to space and returned.  Belka later had a puppy given to Caroline Kennedy by Nikita Khrushchev
,dk,Benedictine,,dog,,epic,,usa,,mmmfff,#4a2605,tan,#4a2605,,A St. Bernard recognized as the world's heaviest dog at 166kg
,dl,Chips,,dog,,legendary,,usa,,fwwwwwf,#3a1A05,sandybrown,#3a1A05,,The most decorated war dog of World War II
,dm,Smoky,,dog,,legendary,,usa,,swwwwws,whitesmoke,#d0d0d0,whitesmoke,,"Rescued from a foxhole during World War II, later became the first therapy dog"
,dn,Rags,,dog,,rare,,usa,,wmwmwm,gray,#faebd7,gray,,A military dog involved in a raid on a leader of ISIS
,do,Stubby,,dog,,legendary,,usa,,fwwwwwm,gray,lightgray,gray,,"The most decorated war dog of World War I, Sergeant Stubby participated in 17 battles on the Western Front."
,dp,Ashley,,dog,,rare,,usa,,pmpspm,gray,black,gray,,"Ashley Whippet was the first notable disc dog, winner of three Canine Frisbee Disc World Championships"
,dq,McGrath,,dog,,epic,,england,,mmfpmm,lavender,lavender,lavender,,Master McGrath was a greyhound who won numerous races and was granted an audience with the British Royal Family
,dr,Sombra,,dog,,rare,,colombia,,swwpww,black,#a07f7f,black,,A German Shepherd police dog credited with over 200 arrests with the National Police of Colombia
,ds,Gabi,,dog,,rare,,russia,,sswwmm,black,sandybrown,black,,A German Shepherd who worked as a guard dog at the Belgrade Zoo and managed to defeat an escaped jaguar.
,dt,Oscar,,dog,,common,,england,,ssfmss,maroon,black,maroon,,"Hypnodog – a black Labrador retriever, famous for performing as a canine hypnotist."
,du,Don,,dog,,rare,,germany,,smpmss,maroon,mistyrose,maroon,,Don the Talking Dog – learned to vocalize several words in German
,dv,Balto,,dog,,epic,,usa,,sswspp,maroon,brown,maroon,,The lead sled dog on the final leg of a run taking diphtheria antitoxin to Alaska to fight an epidemic
,dw,Kira,,dog,,rare,,usa,,sspwpp,paleturquoise,lightcyan,paleturquoise,,Twice helped her owner break through ice to rescue dogs stranded in a frozen lake
,dx,Peter,,dog,,legendary,,england,,wwpfpww,navajowhite,sandybrown,navajowhite,,A rescue dog who helped find numerous people after attacks on London during World War II
,dy,Max,,dog,,epic,,usa,,ssffss,silver,ghostwhite,silver,,One of the world's oldest dogs – lived over 29 years
,dz,Clifford,,dog,,common,,usa,,pppppp,red,red,red,,The Big Red Dog
,dA,Mishka,,dog,,common,,usa,,ppmfmm,#606060,azure,#606060,,"A Siberian Husky, famous for saying “I love you.”"
,dB,Bingo,,dog,,common,,usa,,sffffs,pink,yellow,pink,,The farmer's dog whose name every US schoolchild learns to spell
,dC,Baekgu,,dog,,rare,,korea,,sspmfs,tomato,darkorange,tomato,,Made friends with a lonely lion named Soonee
,dD,Snoopy,,dog,,common,,usa,,mmffpm,black,white,black,,The real hero of the classic comic strip Peanuts
,dE,Protodog,,dog,,legendary,,zulu,,sfpmwfw,yellow,cyan,palegreen,,The dog that first sat at a fireside with early humans.  The ancient ancestor of our loyal companions of today
,,,,,,,,,,,,,,//old,Email me (info@whalebunny.com) with the name and background info of your dog for a chance to have it appear here
,,,,,,,,,,,,,,,
,// cats,,,,,,,,,,// these colors are all good unless they're whitewhitewhite,,,,
,f1,Félicette,,cat,,legendary,,france,,sssssss,black,#C0D8FF,black,,"The first cat in space, launched as part of the French space program in 1963"
,f2,Tuxedo Stan,,cat,,rare,,canada,,mfmfmf,gray,snow,gray,,"Tuxedo Stan ran for mayor of Halifax, Nova Scotia in 2012"
,f3,Paddles,,cat,,rare,,newzealand,,mpmpmp,sandybrown,wheat,sandybrown,,The First Cat of New Zealand – Paddles was a rescue cat adopted by Prime Minister Jacinda Ardern
,f4,Bob,,cat,,common,,england,,mfmpmf,orange,gold,orange,,Played the lead role in his own movie “A Street Cat Named Bob”.
,f5,Catmando,,cat,,epic,,england,,smmwfp,orange,white,orange,,Joint leader of Britain's Official Monster Raving Loony Party from 1999 to 2002
,f6,Larry,,cat,,rare,,england,,ffmmff,burlywood,lightyellow,burlywood,,Chief Mouser at 10 Downing Street in London
,f7,Tom Kitten,,cat,,rare,,usa,,ppmmpp,#202020,#222255,#202020,,One of the many pets in John F. Kennedy's family
,f8,Sockington,,cat,,common,,usa,,msffsm,dimgray,lightgray,dimgray,,Famous for his insightful tweets about cat life
,f9,Henri,,cat,,common,,usa,,mmmfmf,black,#E2E2E2,black,,"Henri, le Chat Noir, is the star of a series of short films about himself."
,fa,Tara,,cat,,epic,,usa,,wwwwww,rosybrown,tan,rosybrown,,Tara heroically rescued a child in her family from a dog attack
,fb,Niki,,cat,,common,,russia,,mspsms,#E3E3E3,aliceblue,#E3E3E3,,"A Russian cat famous for human-like behavior, including sitting upright on his hind legs"
,fc,Dusty,,cat,,rare,,usa,,mpmwmw,#744d18,#352313,#744d18,,"Known as Dusty the Klepto Kitty, famous for his acts of cat burglary, including carrying home a human's bra"
,fd,Maru,,cat,,common,,japan,,pmsmsp,peru,antiquewhite,peru,,"A Japanese cat, popular on YouTube, famous for playing with cardboard boxes"
,fe,Scarlett,,cat,,epic,,usa,,wfpwfw,sandybrown,peachpuff,sandybrown,,A stray cat who risked her life to save her kittens from a burning garage
,ff,Little Nicky,,cat,,epic,,usa,,ssssss,saddlebrown,lightyellow,saddlebrown,,The first commercially produced cat clone for an individual owner
,fg,Unsinkable Sam,,cat,,legendary,,england,,wpwpwpw,black,aquamarine,black,,"Survived three shipwrecks, beginning with the sinking of the battleship Bismark in 1941"
,fh,Mr. Bigglesworth,,cat,,common,,england,,mpwmpm,pink,pink,pink,,Dr. Evil's cat was played by a hairless Sphynx named Ted Nude-Gent
,fi,Pickles,,cat,,legendary,,newzealand,,mfmwfmf,wheat,linen,antiquewhite,,Pickles lives permanently on the Hobbiton set in New Zealand
,fj,Tommaso,,cat,,rare,,italy,,mmmmmm,#206020,#202020,#206020,,Inherited $13 million when his owner died
,fk,All Ball,,cat,,legendary,,usa,,sfsfsfs,lightgrey,#e0e0e0,lightgrey,,A tailess kitten adopted by Koko the gorilla
,fl,"Zoe, PhD",,cat,,rare,,usa,,sssmms,maroon,lightsalmon,maroon,,A cat accredited by the American Psychotherapy Association
,fm,Orangey,,cat,,rare,,usa,,msfmms,orangered,orange,orangered,,A cat actor who appeared in several movies including Breakfast at Tiffany's
,fn,Creme Puff,,cat,,legendary,,usa,,ssfwfss,antiquewhite,ghostwhite,antiquewhite,,One of the world's oldest cats – lived over 38 years
